Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
CMS Energy Corporation,Public Utilities,6.833333333333333,1.1499430183333332,0.08598192416666667,0.0712179605,0.1719773758333333,0.8082631131666668,4.219262128666666,0.12997551166666665,0.21746737116666667,BBB
"CSG Systems International, Inc.",Technology,7.0,1.9750723563333334,0.41887464,0.07717640266666666,0.15309796833333333,0.632067523,1.8075609083333333,0.17719511133333332,0.14714947,BBB
CSI Compressco LP,Energy,4.666666666666667,1.858918241666667,0.27258040466666666,-0.241409727,-0.24086886633333335,0.6775281976666667,2.559915773,-0.46176959033333337,0.1928519776666667,B
CSX Corporation,Transportation,7.285714285714286,1.188083788142857,0.3254503235714286,0.15554489871428573,0.29392251128571434,0.682461819,2.160818382285714,0.18092062685714286,0.27838016614285715,BBB
CVS Health Corporation,Health Care,7.666666666666667,1.4159830329999998,0.14132138483333334,0.032910693666666664,0.06070838566666667,0.5016270761666667,1.061435261,0.1203883695,0.054076098999999996,A
Cabot Corporation,Basic Industries,7.0,2.1649360551666668,0.2437627516666667,0.03964445983333333,0.05454905016666667,0.5596998445,1.2820893716666666,0.06665028449999999,0.12206352300000001,BBB
"Cadence Design Systems, Inc.",Technology,7.0,1.329227595,0.669131449,0.100509067,0.130710239,0.584498915,1.406732585,0.119151993,0.200338788,BBB
Caesars Entertainment Corporation,Consumer Services,3.25,0.9808284405000001,0.64862673475,-0.301180644,-0.142220183,1.0681363555,-18.0670787235,2.7841489185,-0.010338467,CC
California Resources Corporation,Energy,4.333333333333333,0.7268725786666667,0.017272058666666666,-0.5474244036666667,-1.0189261673333334,1.0028683286666666,-5.773677756999999,0.9432667126666666,0.27330567266666667,CCC
"Calumet Specialty Products Partners, L.P.",Energy,4.8,1.524218313,0.0683743778,-0.0197872512,0.018628877999999998,0.732934256,4.2498120864,-0.3274639942,0.04369547580000001,B
Campbell Soup Company,Consumer Non-Durables,8.0,0.7934653088,0.13488369979999998,0.089206175,0.14734788000000001,0.8376079806,5.2605544128,0.597073302,0.1349609718,A
Canadian National Railway Company,Transportation,8.0,0.8402468475,0.267432165,0.2722106711666667,0.38658226566666665,0.585105929,1.4115650963333335,0.23199728733333333,0.36240281533333335,A
Canadian Pacific Railway Limited,Transportation,7.0,1.472423803,0.643686502,0.142670797,0.231534323,0.583997655,1.403832605,0.123291532,0.317952063,BBB
Canadian Solar Inc.,Technology,6.0,0.9355355315,0.172774448,0.0364299845,0.028213708000000004,0.822591015,4.735941834,0.14270548700000002,-0.003919315,BB
"Cardinal Health, Inc.",Health Care,8.0,1.227897403,0.20589474766666668,0.011530274333333333,0.019477814,0.7630634813333333,3.256815108,0.18252564966666665,0.021139308666666665,A
Cardtronics plc,Miscellaneous,7.0,0.8048922956666665,0.21705496066666666,0.05354461333333333,0.11048343866666666,0.7189282583333334,2.632068444,0.16731559566666668,0.20202958999999998,BBB
Carlisle Companies Incorporated,Basic Industries,7.0,2.2700857875,0.1804084575,0.0651816065,0.10111096450000001,0.5023729635,1.012649359,0.135651052,0.09658744650000001,BBB
Carnival Corporation,Consumer Services,8.0,0.238829186,0.085265837,0.169564952,0.18738178,0.419637354,0.723060583,0.122980927,0.313258893,A
Carpenter Technology Corporation,Basic Industries,7.0,3.066621958857143,0.6033833884285714,0.03740252542857143,0.06411697785714286,0.5767484594285713,1.3869285808571428,0.06584500271428571,0.09813007042857143,BBB
"Caterpillar, Inc.",Capital Goods,7.5,1.3490855336666667,0.2162578403333333,0.05769917116666667,0.08815624083333333,0.8055622896666668,4.234691928499999,0.20691698816666668,0.13545749033333335,A
Celanese Corporation,Basic Industries,6.0,1.951624549,0.492418773,0.089753068,0.102025728,0.842568678,5.351976137,0.452647278,0.094336833,BB
Cementos Pacasmayo S.A.A.,Capital Goods,6.0,5.171131599,2.900827024,0.15518289,0.240991518,0.361077958,0.587300129,0.096774469,0.193457317,BB
Cenovus Energy Inc,Energy,6.857142857142857,1.8041260534285715,0.7385614204285715,0.04517202657142857,0.10717881242857143,0.5720025054285715,1.346455986142857,0.07577702242857143,0.17026265157142856,BBB
Centene Corporation,Health Care,6.0,1.0775547474,0.5911137986,0.0131349786,0.0240099704,0.657955566,1.9812466456000002,0.1029044904,0.0381721572,BB
Central Garden & Pet Company,Consumer Durables,5.0,3.601084445,0.21732689700000002,0.01026980075,0.04175221775,0.577803477,1.37150369225,0.034831629749999996,0.0365047885,B
Centrus Energy Corp.,Basic Industries,5.0,0.90934418,0.175071043,-0.121529637,-0.176443595,1.268660217,-4.722173723,0.346791794,0.06210325,B
